id_institucion,id_comuna,nombre_institucion,nivel,afiliacion_institucion
10260,100,Escuela Villa Macul,Basico/Medio,Publica
10261,100,Escuela Jaime Eyzaguirre,Basico/Medio,Privada
10262,100,Liceo Municipalizado Manuel Rojas,Basico/Medio,Publica
10263,100,Centro Educacional Vicuna Mackenna De Macul,Basico/Medio,Privada
10264,100,Escuela Enrique Molina Garmendia,Basico/Medio,Privada
10265,100,Escuela Julio Montt Salamanca,Basico/Medio,Publica
10266,100,Escuela Jose Miguel Carrera,Basico/Medio,Privada
10267,100,Escuela Basica,Basico/Medio,Publica
10268,100,Escuela Basica Particular Los Husares,Basico/Medio,Publica
10269,100,Centro Educacional Julio Verne,Basico/Medio,Privada
10270,100,Escuela Particular Regina Mundi,Basico/Medio,Publica
10271,100,Escuela De Parvulos Reina De La Paz,Basico/Medio,Privada
10272,100,Escuela Particular Nuestra Sra.Del Pilar,Basico/Medio,Publica
10273,100,Colegio Libertador Simon Bolivar,Basico/Medio,Privada
10274,100,Colegio Poliv. Rocket College,Basico/Medio,Publica
10275,100,Colegio Padre Hurtado De Macul,Basico/Medio,Privada
10276,100,Liceo Salesiano Camilo Ortuzar Montt,Basico/Medio,Privada
10277,100,Esc. Part. Marta Brunet,Basico/Medio,Privada
10278,100,Escuela Particular Colegio Cedi,Basico/Medio,Privada
10279,100,Escuela Particular Elizabeth Peabody,Basico/Medio,Privada
10280,100,Escuela Particular The New School,Basico/Medio,Publica
10281,100,Complejo Educacional Esperanza,Basico/Medio,Publica
10282,100,Escuela Particular Inst.P.De Valdivia,Basico/Medio,Publica
10283,100,Escuela De Paravulos N°1126 Cedi,Basico/Medio,Privada
10284,100,Escuela De Parvulos Rockito,Basico/Medio,Privada
10285,100,Escuela Basica Corazon,Basico/Medio,Privada
10286,100,Escuela Basica Divina Providencia,Basico/Medio,Privada
10287,100,Escuela De Parvulos Paucar,Basico/Medio,Privada
10288,100,Escuela Básica Nº520 Florence Nightingale,Basico/Medio,Privada
10289,100,Colegio San Marcos,Basico/Medio,Privada
10290,100,Colegio Del Alba,Basico/Medio,Privada
10291,100,Colegio Esp. De Trast. Del Leng.Nazareno,Basico/Medio,Publica
10292,100,Escuela Basica Swedenborg,Basico/Medio,Privada
10293,100,Escuela Basica Newton Garden,Basico/Medio,Privada
10294,100,Escuela De Parvulos Reina De La Paz Nº 2,Basico/Medio,Privada
10295,100,Colegio San Viator,Basico/Medio,Privada
10296,100,Escuela Basica Part.The New School Anexo,Basico/Medio,Privada
10297,100,Escuela De Parvulos Rulito,Basico/Medio,Privada
10298,100,Iaki,Basico/Medio,Privada
10299,100,Escuela Particular Elizabeth Peabody,Basico/Medio,Privada
10300,100,Colegio Saint Mary Joseph School,Basico/Medio,Privada
10301,100,Escuela De Parvulos Pandora,Basico/Medio,Privada
10302,100,Escuela Especial Particular Ayelen,Basico/Medio,Publica
10303,100,Escuela De Parvulos Kinder Pando,Basico/Medio,Publica
10304,100,Escuela Especial Particular N_ 1666 Sandeli,Basico/Medio,Publica
10305,100,Esc. Esp. Part Serafin De Macul,Basico/Medio,Publica
10306,100,Colegio Nuevo Del Alba,Basico/Medio,Privada
10307,100,Escuela De Parvulos Antu,Basico/Medio,Privada
10308,100,Instituto De Educacion De Adultos Macul,Basico/Medio,Publica
10309,100,Escuela De Parvulos  N°1839 Girolin,Basico/Medio,Privada
10310,100,Colegio Particular El Alba De Macul,Basico/Medio,Privada
10311,100,Esc. Esp. Part. San Rafael De Macul,Basico/Medio,Privada
10312,100,Colegio Part. Swedenborg College,Basico/Medio,Privada
10313,100,Escuela De Parvulos Artecolor,Basico/Medio,Privada
10314,100,Esc. De Parv. Part. Saint Mary Angel`S Garden,Basico/Medio,Privada
10315,100,Colegio Madre De La Divina Providenc,Basico/Medio,Privada
10316,100,Escuela Esp. Oasis De Macul,Basico/Medio,Privada
10317,100,Escuela Part. Isaac Newton,Basico/Medio,Privada
10318,100,Escuela Esp. Part. Capullitos De Sol,Basico/Medio,Publica
10319,100,Escuela Esp. Part. Valle Del Sol,Basico/Medio,Publica
10320,100,Escuela De Parvulos Rinconcito Feliz,Basico/Medio,Privada
10321,100,Escuela Esp. San Juan De Dios,Basico/Medio,Publica
10322,100,Escuela Esp. Ivun Cupal Catemu,Basico/Medio,Publica
10323,100,Escuela De Parv. Mi Primera Aventura,Basico/Medio,Privada
10324,100,Colegio De Ad. Bartolome De Las Casas De Macu,Basico/Medio,Privada
10325,100,Escuela Bas. Newton School,Basico/Medio,Privada
10326,100,Escuela Bas. Ellen Gould School,Basico/Medio,Privada
10327,100,Colegio De Adultos Rocket,Basico/Medio,Publica
10328,100,Esc. Esp. De Colores Pando,Basico/Medio,Publica
10329,100,Esc. De Parv. La Casita Feliz,Basico/Medio,Privada
10330,100,Escuela De Parvulos Saint James,Basico/Medio,Privada
10331,100,Esc. De Parvulos Y Especial Santa Josefina,Basico/Medio,Publica
10332,100,Esc. De Lenguaje Piero Von Falkenberg,Basico/Medio,Publica
10333,100,Escuela Especial De Lenguaje Mi Club Rymai,Basico/Medio,Publica
10334,100,Esc. De Lenguaje Nº 2388 Arcoiris De Palabras,Basico/Medio,Publica
10335,100,Escuela Especial Magic School,Basico/Medio,Publica
10336,100,Sala Cuna Y Jardín Infantil Ailin Creaciones,Basico/Medio,Privada
10337,100,Sala Cuna Y Jardín Infantil Nuestros Niños,Basico/Medio,Privada
10338,105,Pontificia Universidad Catolica De Chile Oriente,Superior,Privada
10339,105,Universidad De Chile Campus Andres Bello,Superior,Publica
10340,105,Universidad Andrés Bello Sede Providencia,Superior,Publica
10341,105,Universidad Autónoma De Chile Sede Providencia,Superior,Publica
10342,105,Universidad San Sebastián Campus Los Leones,Superior,Publica
10343,105,Universidad Mayor Campus Manuel Montt,Superior,Publica
10344,105,Universidad Tecnologica Metropolitana Sede Providencia,Superior,Publica
10345,105,Universidad Finis Terrae,Superior,Publica
10346,105,Universidad Gabriela Mistral,Superior,Publica
10347,105,Uniacc Sede Providencia,Superior,Publica
10348,105,Centro Diagnostico,Basico/Medio,Privada
10349,105,Liceo De Adultos Fontanar (Anexo),Basico/Medio,Privada
10350,105,Colegio Instituto De Humanidades Luis Campino,Basico/Medio,Privada
10351,105,Colegio Manantiales,Basico/Medio,Privada
10352,105,Liceo Polivalente Arturo Alessandri P.,Basico/Medio,Publica
10353,105,Liceo Nº7 De Providencia Luisa Saavedra,Basico/Medio,Publica
